               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11586,            0.034752,            0.058604,           0.0077275,           0.0089286,           0.0016348,          0.00023964,             0.10835,            0.019593,            0.055612,             0.00031,             0.00031,             0.09721
                   1,            0.093372,            0.028385,            0.056628,           0.0061565,            0.073764,           0.0038391,          0.00087359,            0.070968,            0.016798,            0.052126,          0.00062988,          0.00062988,             0.09433
                   2,            0.081606,            0.029501,            0.053219,            0.018938,             0.21356,            0.012022,           0.0037682,            0.064999,            0.015858,             0.05448,          0.00094925,          0.00094925,            0.091449
                   3,            0.073137,             0.02936,            0.051131,             0.23451,             0.10798,            0.042145,            0.013658,            0.059936,            0.015492,            0.054111,           0.0012677,           0.0012677,            0.088568
                   4,            0.067073,            0.030409,            0.048086,             0.13743,             0.20956,             0.15385,             0.04457,            0.056731,            0.014769,            0.050971,            0.001585,            0.001585,            0.085685
                   5,            0.062364,            0.030208,            0.044513,             0.12121,             0.38815,             0.16568,            0.085847,            0.051936,            0.014185,            0.049703,           0.0019006,           0.0019006,            0.082801
                   6,            0.059305,            0.028668,            0.042081,             0.16871,              0.4157,             0.22596,             0.11592,            0.051998,            0.012553,            0.045045,           0.0022142,           0.0022142,            0.079914
                   7,            0.055731,            0.025891,            0.037907,             0.18675,             0.44454,              0.2836,            0.086106,            0.050022,            0.011517,            0.047345,           0.0025254,           0.0025254,            0.077025
                   8,            0.055106,            0.026019,            0.035512,             0.26992,             0.45568,             0.28658,               0.112,            0.052049,            0.010616,            0.043703,           0.0028339,           0.0028339,            0.074134
                   9,            0.052511,            0.024182,            0.033704,             0.29282,             0.49868,             0.30206,             0.10937,            0.051548,            0.011087,            0.045631,           0.0031393,           0.0031393,            0.071239
                  10,            0.052465,            0.022364,            0.029695,             0.50162,             0.36929,             0.39648,             0.14695,            0.050078,            0.010714,            0.039045,           0.0034413,           0.0034413,            0.068341
                  11,            0.052916,            0.022544,            0.027488,             0.39811,             0.47939,             0.41474,             0.11651,            0.056722,            0.010358,            0.041349,           0.0037394,           0.0037394,            0.065439
                  12,            0.054189,            0.022036,            0.022688,             0.28005,             0.52224,             0.36648,             0.16088,            0.052662,           0.0099113,            0.037887,           0.0040334,           0.0040334,            0.062533
                  13,            0.052445,            0.021538,            0.020797,             0.40882,              0.4737,             0.34752,              0.1388,            0.050615,            0.010087,            0.028512,           0.0043229,           0.0043229,            0.059623
                  14,            0.053738,            0.021578,            0.019548,             0.31332,             0.53971,              0.3823,              0.1465,            0.051645,            0.010011,            0.039951,           0.0046076,           0.0046076,            0.056708
                  15,            0.050139,            0.020351,            0.019349,             0.44636,             0.39983,             0.40741,             0.19192,            0.044176,           0.0098008,            0.019887,           0.0048872,           0.0048872,            0.053787
                  16,             0.05291,            0.019614,            0.016814,             0.35075,             0.64725,             0.44012,             0.19252,             0.04707,           0.0089812,            0.031707,           0.0051613,           0.0051613,            0.050861
                  17,            0.057996,            0.019407,            0.016309,             0.36783,             0.61295,             0.46779,             0.19588,            0.054912,           0.0085336,            0.028317,           0.0054297,           0.0054297,             0.04793
                  18,             0.05619,            0.019375,            0.013574,              0.4355,             0.61039,             0.50337,             0.20078,            0.049598,           0.0091806,            0.024147,            0.005692,            0.005692,            0.044992
                  19,            0.055482,            0.018574,            0.015598,             0.49652,             0.47661,             0.43408,             0.18282,            0.056537,           0.0090166,            0.031551,            0.005948,            0.005948,            0.042048
                  20,            0.053465,            0.019562,            0.014017,             0.27312,             0.46984,             0.38232,             0.12965,            0.056669,            0.010678,            0.054408,           0.0061974,           0.0061974,            0.039097
                  21,            0.048884,            0.018871,            0.013655,             0.56045,             0.41636,             0.45708,             0.19034,            0.053797,            0.010708,            0.034855,           0.0064399,           0.0064399,             0.03614
                  22,            0.052827,            0.019878,            0.015316,             0.38696,             0.63571,              0.4505,             0.19576,            0.058033,           0.0097967,             0.02893,           0.0066753,           0.0066753,            0.033175
                  23,            0.049773,            0.019815,            0.012256,             0.42572,              0.4841,             0.44551,             0.19182,            0.053276,             0.01019,             0.03173,           0.0069033,           0.0069033,            0.030203
                  24,            0.047694,            0.018486,            0.011479,             0.55971,             0.41667,             0.45106,             0.18717,            0.057487,            0.010656,            0.038558,           0.0071238,           0.0071238,            0.027224
                  25,            0.046809,            0.019658,            0.014159,             0.76648,             0.56066,             0.59094,             0.20098,            0.055283,           0.0098731,            0.028577,           0.0073364,           0.0073364,            0.024236
                  26,            0.051721,            0.019625,            0.013267,               0.558,             0.54877,             0.52082,             0.19924,            0.053013,            0.010413,            0.035532,           0.0075411,           0.0075411,            0.021241
                  27,            0.049372,             0.01898,            0.014158,              0.3555,             0.60769,             0.38589,             0.16195,            0.053555,            0.010473,            0.034309,           0.0077375,           0.0077375,            0.018237
                  28,            0.047614,            0.020419,            0.011723,             0.60482,             0.45594,             0.49909,             0.21708,            0.049775,            0.011442,            0.050936,           0.0079256,           0.0079256,            0.015226
                  29,              0.0488,            0.019535,            0.010827,             0.67968,             0.56707,             0.55859,             0.19304,            0.055857,            0.010155,            0.029101,           0.0081051,           0.0081051,            0.012205
                  30,             0.04862,            0.019551,            0.011553,             0.65435,             0.47281,             0.56752,              0.2814,            0.054609,           0.0098411,            0.028918,            0.008276,            0.008276,            0.009176
                  31,            0.049064,            0.018414,            0.010657,               0.524,             0.56796,             0.60158,             0.26101,            0.049869,           0.0097563,            0.037475,           0.0082483,           0.0082483,           0.0082483
                  32,            0.046005,            0.019471,            0.010478,             0.52804,             0.52696,              0.4976,             0.20961,            0.049133,            0.010627,            0.034761,           0.0082483,           0.0082483,           0.0082483
                  33,            0.047257,            0.019356,            0.010484,             0.67016,             0.49974,             0.54428,             0.22132,            0.046828,            0.010586,            0.039478,           0.0081433,           0.0081433,           0.0081433
                  34,            0.046637,            0.018548,            0.010766,             0.46519,             0.57583,             0.48408,             0.16486,            0.043684,            0.010672,            0.042352,           0.0080362,           0.0080362,           0.0080362
                  35,            0.043753,            0.018858,            0.010333,             0.55241,             0.65849,             0.53582,             0.20228,            0.045818,            0.010298,             0.02578,            0.007927,            0.007927,            0.007927
                  36,            0.043712,            0.018761,            0.010426,             0.62611,             0.41262,             0.46402,             0.17153,            0.053604,            0.010517,            0.039791,            0.007816,            0.007816,            0.007816
                  37,            0.044197,             0.01814,            0.010323,             0.67366,             0.40596,             0.41074,             0.14775,            0.054156,            0.011431,            0.025606,           0.0077031,           0.0077031,           0.0077031
                  38,            0.044093,            0.020038,            0.014124,             0.48671,             0.48442,             0.43124,             0.19688,            0.044322,            0.010638,            0.032181,           0.0075886,           0.0075886,           0.0075886
                  39,            0.043029,            0.019135,            0.011452,             0.34367,             0.33512,             0.30371,             0.12972,            0.057036,            0.012311,            0.031685,           0.0074725,           0.0074725,           0.0074725
                  40,            0.042848,            0.019843,            0.011737,              0.6922,             0.19167,             0.30798,             0.14719,            0.054711,            0.013054,            0.041497,            0.007355,            0.007355,            0.007355
                  41,            0.042448,            0.019293,            0.011371,             0.68593,             0.32748,             0.39234,             0.14894,            0.044418,            0.011482,            0.034943,           0.0072361,           0.0072361,           0.0072361
                  42,            0.041358,            0.018896,           0.0097078,             0.60512,             0.44873,             0.46899,             0.17279,            0.050985,              0.0124,            0.031207,            0.007116,            0.007116,            0.007116
                  43,            0.039975,            0.018749,           0.0087133,             0.71086,               0.474,             0.48406,             0.23012,            0.045436,            0.011303,            0.037536,           0.0069948,           0.0069948,           0.0069948
                  44,            0.040463,            0.018209,           0.0088011,             0.58527,             0.53076,             0.54103,             0.24282,            0.044956,            0.011094,            0.034533,           0.0068726,           0.0068726,           0.0068726
                  45,            0.036924,            0.018266,            0.007355,             0.55396,             0.56298,             0.50618,             0.20541,             0.04464,            0.011103,            0.041357,           0.0067495,           0.0067495,           0.0067495
                  46,            0.039721,            0.017916,           0.0081623,             0.74189,             0.47426,             0.52631,             0.24053,            0.049256,            0.010078,            0.034325,           0.0066257,           0.0066257,           0.0066257
                  47,            0.037928,            0.018248,           0.0072309,             0.60875,             0.52143,             0.53793,             0.21921,            0.053383,            0.010483,            0.042058,           0.0065013,           0.0065013,           0.0065013
                  48,            0.037871,            0.017117,           0.0070515,             0.67288,             0.46284,             0.53064,             0.22473,            0.055516,            0.010906,            0.043196,           0.0063764,           0.0063764,           0.0063764
                  49,            0.037081,             0.01604,           0.0066873,             0.76136,             0.45951,             0.57156,             0.19733,            0.055765,            0.010733,            0.030353,           0.0062512,           0.0062512,           0.0062512
                  50,            0.037792,             0.01749,           0.0084414,             0.80739,             0.40009,             0.54918,             0.25861,            0.041963,            0.012154,            0.027914,           0.0061256,           0.0061256,           0.0061256
                  51,            0.037315,            0.017117,           0.0091082,             0.70275,             0.37798,             0.42913,             0.17827,            0.055989,             0.01192,            0.039277,               0.006,               0.006,               0.006
                  52,            0.036175,            0.018172,           0.0075146,             0.63748,              0.5895,             0.59596,             0.27838,             0.04329,            0.010681,             0.03799,           0.0058744,           0.0058744,           0.0058744
                  53,            0.036495,            0.016282,           0.0075656,             0.66737,             0.66446,             0.70041,             0.28972,            0.044492,            0.010704,            0.038579,           0.0057488,           0.0057488,           0.0057488
                  54,            0.036308,            0.017479,           0.0082356,             0.61411,             0.57407,             0.56358,             0.25904,            0.040754,            0.010945,            0.035073,           0.0056236,           0.0056236,           0.0056236
                  55,            0.037039,            0.017329,            0.007327,             0.72748,             0.45639,             0.55906,             0.24626,            0.046229,            0.011579,            0.033811,           0.0054987,           0.0054987,           0.0054987
                  56,            0.035307,            0.016034,           0.0069036,             0.50801,             0.47831,             0.47263,              0.1972,            0.051781,            0.011398,             0.02213,           0.0053743,           0.0053743,           0.0053743
                  57,            0.034961,            0.016138,           0.0065187,             0.65192,             0.47968,             0.51677,             0.23621,            0.046655,            0.011368,            0.021815,           0.0052505,           0.0052505,           0.0052505
                  58,            0.036125,            0.016256,           0.0064408,             0.68445,             0.49552,             0.53445,             0.24073,            0.042134,            0.012072,            0.023011,           0.0051274,           0.0051274,           0.0051274
                  59,            0.034541,             0.01636,           0.0073638,             0.54688,             0.64039,             0.57414,             0.25037,             0.04589,            0.010616,            0.033234,           0.0050052,           0.0050052,           0.0050052
                  60,            0.032319,            0.015857,           0.0047737,             0.70632,             0.68577,             0.63959,             0.26934,            0.043023,            0.010631,            0.030087,            0.004884,            0.004884,            0.004884
                  61,            0.033347,            0.014698,           0.0057836,             0.64503,             0.61959,             0.59782,              0.2492,            0.051357,           0.0097701,            0.033872,           0.0047639,           0.0047639,           0.0047639
                  62,            0.033234,            0.015388,           0.0066288,             0.59976,             0.65381,             0.62393,             0.26885,            0.043698,            0.010111,            0.044479,            0.004645,            0.004645,            0.004645
                  63,            0.032728,            0.015686,           0.0055995,              0.5079,              0.7003,             0.59097,             0.20343,            0.052643,            0.010757,            0.037442,           0.0045275,           0.0045275,           0.0045275
                  64,            0.033081,            0.016083,           0.0056702,             0.66979,              0.6251,             0.66854,             0.25994,            0.047848,            0.010095,            0.030214,           0.0044114,           0.0044114,           0.0044114
                  65,            0.032578,            0.016193,           0.0050461,             0.70785,             0.55277,             0.57239,             0.20789,            0.048192,            0.011089,             0.03224,           0.0042969,           0.0042969,           0.0042969
                  66,            0.032088,            0.015249,           0.0046904,             0.64004,             0.62639,             0.63068,             0.21839,            0.050623,            0.010531,            0.033224,            0.004184,            0.004184,            0.004184
                  67,            0.032151,            0.015113,           0.0048392,             0.66317,             0.53857,             0.57787,              0.2607,            0.046256,            0.010601,             0.04272,            0.004073,            0.004073,            0.004073
                  68,            0.030037,              0.0144,           0.0050273,             0.60534,             0.58756,             0.60184,             0.26301,            0.048013,            0.010788,            0.040456,           0.0039638,           0.0039638,           0.0039638
                  69,            0.030742,            0.015594,           0.0058515,             0.66527,              0.5223,             0.53619,             0.23698,            0.048432,            0.010334,            0.033488,           0.0038567,           0.0038567,           0.0038567
                  70,            0.029301,            0.014696,           0.0050735,             0.75365,             0.53882,             0.56666,              0.2159,            0.052754,            0.010451,            0.039249,           0.0037517,           0.0037517,           0.0037517
                  71,            0.029168,              0.0148,           0.0047778,             0.61797,             0.58911,             0.60218,             0.26122,            0.050519,            0.010622,            0.040933,           0.0036489,           0.0036489,           0.0036489
                  72,            0.030584,            0.014797,           0.0059417,             0.63657,             0.59486,             0.56764,             0.24572,            0.047176,            0.010799,            0.050579,           0.0035484,           0.0035484,           0.0035484
                  73,            0.030077,             0.01527,           0.0046168,             0.70353,             0.69513,             0.64502,             0.24376,            0.050409,            0.010074,            0.050067,           0.0034503,           0.0034503,           0.0034503
                  74,            0.028541,            0.014706,           0.0045137,             0.66059,             0.66948,             0.63137,             0.24292,            0.051994,            0.010011,            0.050238,           0.0033548,           0.0033548,           0.0033548
                  75,            0.029477,            0.014149,           0.0043487,             0.65385,             0.61101,             0.61705,             0.27291,            0.048914,            0.010046,            0.042204,           0.0032618,           0.0032618,           0.0032618
                  76,            0.029414,            0.014136,           0.0044662,             0.55437,              0.5929,             0.57265,             0.26509,            0.049642,            0.010762,            0.036018,           0.0031716,           0.0031716,           0.0031716
                  77,            0.028939,            0.014676,           0.0034762,             0.71191,             0.48723,             0.57337,             0.29968,             0.04731,            0.010671,            0.036785,           0.0030841,           0.0030841,           0.0030841
